annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intentYN,offensive2anyoneYN,offensive2youYN,dialectIsWrong,raceIsWrong,WorkerIdHashed,tweet,dialect,condition,username,davidson_label,founta_label
31,man,{},liberal,white,0.0,0.0,0.0,,,ab647dbde8ff4aab46c8cec7bdefad95,"RT @user: When yo phone go off in class &amp; the teacher say ""turn that trash off"" but it's one of the songs on yo mixtape http://t.&#8230;",,text-only,A Twitter User,neither_rel,
37,man,{},libert,white,0.0,0.0,0.0,,,599ea0e2bcdac7f3458cb38410b08369,"RT @user: When yo phone go off in class &amp; the teacher say ""turn that trash off"" but it's one of the songs on yo mixtape http://t.&#8230;",,text-only,A Twitter User,neither_rel,
100,woman,{},liberal,asian,0.0,0.0,0.0,,,652a3b795ccd59abc037cfbc94e77921,"RT @user: When yo phone go off in class &amp; the teacher say ""turn that trash off"" but it's one of the songs on yo mixtape http://t.&#8230;",,text-only,A Twitter User,neither_rel,
22,man,{},liberal,asian,0.6666666666666666,1.0,0.0,,,7bf3e76c903d5297d5b03b8615e1d489,@user yu forgot we beat yall? Thats like a garbage man calling a janitor trash,,text-only,A Twitter User,neither_rel,
50,woman,sexuality,liberal,white,0.3333333333333333,0.5,0.0,,,342401c2a0796a7cbc2f4623a959e86b,@user yu forgot we beat yall? Thats like a garbage man calling a janitor trash,,text-only,A Twitter User,neither_rel,
42,woman,{},cons,white,0.0,0.0,0.0,,,e0f63929d8806fc6fe77999192de46d9,@user yu forgot we beat yall? Thats like a garbage man calling a janitor trash,,text-only,A Twitter User,neither_rel,
26,woman,{},other,black,1.0,1.0,1.0,,,c5cf8d242d8281d304987b12dc262f81,@user you look like fucking shrek bitch,,text-only,A Twitter User,hate_speech_rel,
35,woman,{},liberal,na,1.0,1.0,1.0,,,51237cba56e29ee2da2247a53717201f,@user you look like fucking shrek bitch,,text-only,A Twitter User,hate_speech_rel,
37,man,{},libert,white,1.0,1.0,1.0,,,599ea0e2bcdac7f3458cb38410b08369,@user you look like fucking shrek bitch,,text-only,A Twitter User,hate_speech_rel,
35,woman,{},liberal,white,0.3333333333333333,0.5,0.0,,,200f96fef14ef02c5962f147fd029820,"RT @user210: &#8220;@user: ""@user https://t.co/OtZ0FGDVpR &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#8221; bitch gotta die 10,000 deaths. &#128534;&#128557;&#8221; &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; GTFOH",,text-only,A Twitter User,offensive_language_rel,
32,man,{},liberal,white,1.0,1.0,0.0,,,573d3c82e57181297a2388beeb1a36b6,"RT @user210: &#8220;@user: ""@user https://t.co/OtZ0FGDVpR &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#8221; bitch gotta die 10,000 deaths. &#128534;&#128557;&#8221; &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; GTFOH",,text-only,A Twitter User,offensive_language_rel,
